category,slug,status,detail
Tecnologia,thermal-expansion,OK,"Project "Thermal Expansion" successfully added! (thermal_expansion-1.20.1-11.0.1.29.jar)"
Tecnologia,thermal-foundation,OK,"Project "Thermal Foundation" successfully added! (thermal_foundation-1.20.1-11.0.6.70.jar)"
Tecnologia,thermal-innovation,OK,"Project "Thermal Innovation" successfully added! (thermal_innovation-1.20.1-11.0.1.23.jar)"
Tecnologia,industrial-foregoing,OK,"Project "Industrial Foregoing" successfully added! (industrial-foregoing-1.20.1-3.5.22.jar)"
Tecnologia,powah,OK,"Project "Powah!" successfully added! (Powah-5.0.11.jar)"
Tecnologia,ae2-things,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Tecnologia,modular-routers,OK,"Project "Modular Routers" successfully added! (modular-routers-12.1.1+mc1.20.1.jar)"
Tecnologia,pipez,OK,"Project "Pipez" successfully added! (pipez-forge-1.20.1-1.2.26.jar)"
Tecnologia,refined-storage,OK,"Project "Refined Storage" successfully added! (refinedstorage-1.12.4.jar)"
Tecnologia,laser-io,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Tecnologia,create-power-loader,OK,"Project "Create: Power Loader" successfully added! (create_power_loader-2.0.3-mc1.20.1.jar)"
Tecnologia,ic2-classic-spmod,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Mundo,william-wythers-overhauled-overworld,OK,"Project "William Wythers' Overhauled Overworld" successfully added! (WWOO-FABRIC+FORGE+QUILT-2.0.0.jar)"
Mundo,tectonic,OK,"Project "Tectonic" successfully added! (tectonic-mod-1.19.3-v2.2.1.jar)"
Mundo,geophilic,OK,"Project "Geophilic" successfully added! (Geophilic v3.6.mod.jar)"
Mundo,whisperwoods,OK,"Project "Whisperwoods" successfully added! (whisperwoods-1.20.1-2.1.2-forge.jar)"
Mundo,origins-classes,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Mundo,nature-s-spirit,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Mundo,simple-flowers,OK,"Project "Simple Grass Flowers" successfully added! (Simple Grass Flowers v2.0.0.zip)"
Mundo,ecographs,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Mundo,majrusz-library,OK,"Project "Majrusz Library" successfully added! (majrusz-library-neoforge-1.20.1-7.0.8.jar)"
Mundo,majruszs-difficulty,OK,"Project "Majrusz's Progressive Difficulty" successfully added! (majruszs-difficulty-neoforge-1.20.1-1.9.10.jar)"
Granjas,productive-bees,OK,"Project "Productive Bees" successfully added! (productivebees-1.20.1-12.6.0.jar)"
Granjas,productivetrees,OK,"Project "Productive Trees" successfully added! (productivetrees-1.20.1-0.2.6.jar)"
Granjas,let-me-despawn,OK,"Project "Let Me Despawn" successfully added! (letmedespawn-1.20.x-forge-1.5.0.jar)"
Granjas,simple-farming,OK,"Project "Utility Golems" successfully added! (utilitygolems-1.1.0.jar)"
Granjas,croptopia,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Granjas,farming-for-blockheads,OK,"Project "Farming for Blockheads" successfully added! (farmingforblockheads-forge-1.20.1-14.0.4.jar)"
Granjas,better-nether-farmland,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Aventura,explorers-compass-2,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Aventura,questing-ores,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Aventura,voyager,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Aventura,traveler-artifacts,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Aventura,artifacts,OK,"Project "Artifacts" successfully added! (artifacts-forge-9.5.19.jar)"
Aventura,relics,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
